application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000012827,0.9812298,0.0,,0.006782692833608831,"x_university_id,flag_income_below_20000,permanent_pincode"
BR202526000012832,0.94207263,4.0,"UN,UN_AGG",0.9997857907703502,"mobile_unique_fathers_count,x_university_id,x_course_year"
OR202526000012840,0.9688268,0.0,,0.006015904680766549,"ip_to_mobile_ratio,tution_fee,xii_university_id"
AP202526000012843,0.9613605,0.0,,0.0011691133046043147,"misc_fee,xii_university_id,permanent_pincode"
GJ202526000006974,0.9613391,0.0,,0.0026068571180361995,"x_course_year,permanent_pincode,entitled_lumpsump_amount"
PB202526000007072,0.94274706,0.0,,0.00260971918741626,"permanent_pincode,x_course_year,religion"
TS202526000007084,0.9476706,0.0,,0.00024789168003205977,"x_university_id,x_course_year,tution_fee"
AS202526000007102,0.9490445,3.0,"YF,YF_FLAG",0.9998790861242014,"is_applicant_name_eq_father,vae_reconstruction_prob,annual_family_income"
AS202526000007132,0.9693827,0.0,,0.0029546823082359634,"x_course_year,misc_fee,x_university_id"
AS202526000007165,0.96000594,0.0,,0.006377756014467273,"vae_reconstruction_prob,xii_percentage,x_course_year"
SK202526000007178,0.98568195,0.0,,0.0022679739394536992,"xii_university_id,x_course_year,flag_income_below_20000"
AS202526000007229,0.9676403,0.0,,0.009914730327671208,"x_course_year,age_at_registration,x_university_id"
PB202526000007263,0.9670277,0.0,,0.0015756605928416644,"name_similarity_score,competitive_exam_state,aadhaar_vault_ref_token"
UP202526000007246,0.96886975,0.0,,4.867494767182726e-05,"xii_university_id,permanent_pincode,c_course_year"
SK202526000007282,0.92522436,0.0,,1.549424840118027e-05,"religion,c_course_year,misc_fee"
AS202526000007409,0.9615779,0.0,,0.014932897950717606,"x_course_year,flag_income_below_20000,x_percentage"
AS202526000007451,0.99022585,0.0,,4.619582128971002e-05,"x_course_year,vae_reconstruction_prob,competitive_exam_year"
AS202526000007537,0.98556525,0.0,,0.0004706509007290104,"c_course_year,xii_university_id,name_similarity_score"
AS202526000007542,0.97842574,0.0,,0.029069062925768382,"x_course_year,name_similarity_score,entitled_lumpsump_amount"
BR202526000007589,0.97383446,2.0,X9,0.931237046487974,"x_university_id,xii_university_id,x_course_year"
AS202526000007650,0.9845713,0.0,,0.0024070837085715573,"x_course_year,vae_reconstruction_prob,x_university_id"
UP202526000015106,0.90393174,0.0,,4.301636779162575e-05,"annual_family_income,x_course_year,xii_university_id"
RJ202526000015214,0.9626646,0.0,,0.0010682705426807726,"permanent_pincode,vae_reconstruction_prob,xii_percentage"
BR202526000015318,0.9766522,0.0,,0.0012843275407254631,"x_university_id,xii_university_id,aadhaar_vault_ref_token"
TS202526002106493,0.9429262,0.0,,0.00022893838234111077,"x_course_year,age_at_registration,x_university_id"
MP202526000015446,0.9784353,0.0,,4.70958894207819e-05,"x_course_year,permanent_pincode,x_university_id"
AS202526000015430,0.9355335,0.0,,0.0004525516974374349,"c_course_year,c_institution_id,x_university_id"
