application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000007102,0.9587084,0.0,,0.005725747877759525,"misc_fee,age_at_registration,admission_fee"
AS202526000007132,0.974171,0.0,,0.003685311850179226,"x_course_year,xii_percentage,misc_fee"
AS202526000007165,0.96923804,0.0,,0.0006693960241608794,"xii_percentage,institute_application_count,misc_fee"
SK202526000007178,0.9845673,0.0,,0.002015578982869137,"x_university_id,x_course_year,xii_university_id"
AS202526000007229,0.96888065,0.0,,0.00550940880753284,"x_course_year,state_verify_by,x_university_id"
PB202526000007263,0.9588022,0.0,,0.0009840718668649678,"aadhaar_vault_ref_token,x_course_year,permanent_pincode"
UP202526000007246,0.97177416,0.0,,5.34475266468696e-06,"annual_family_income,x_university_id,tution_fee"
SK202526000007282,0.9291676,0.0,,3.5916143346554136e-05,"religion,age_at_registration,misc_fee"
AS202526000007409,0.9451868,0.0,,0.012264842725567522,"x_course_year,age_at_registration,xii_percentage"
AS202526000007451,0.9890822,0.0,,2.7932235112313864e-05,"vae_reconstruction_prob,x_course_year,age_at_registration"
AS202526000007537,0.98484856,0.0,,0.000905939191584741,"x_university_id,name_similarity_score,xii_percentage"
AS202526000007542,0.9793745,0.0,,0.021165439549052055,"x_course_year,name_similarity_score,age_at_registration"
BR202526000007589,0.9733105,2.0,X9,0.9427587910385662,"x_university_id,state_verify_by,permanent_pincode"
AS202526000007650,0.98148036,0.0,,0.000881648884045895,"c_institution_id,xii_percentage,x_course_year"
UP202526000015106,0.90537477,0.0,,7.359886216893211e-05,"annual_family_income,x_course_year,tution_fee"
RJ202526000015214,0.96354085,0.0,,0.00015073481425743087,"xii_percentage,permanent_pincode,ip_application_count"
BR202526000015318,0.9793528,0.0,,0.007165758924412436,"x_university_id,x_course_year,x_percentage"
TS202526002106493,0.9701214,0.0,,0.00020686242123238267,"x_course_year,pfms_district_code,age_at_registration"
MP202526000015446,0.9742349,0.0,,0.00010109053746902753,"x_course_year,age_at_registration,permanent_pincode"
AS202526000015430,0.9841667,0.0,,0.0018026685041732705,"c_institution_id,x_percentage,xii_percentage"
BR202526000015515,0.95509934,0.0,,0.6949262127098049,"x_university_id,state_verify_by,permanent_pincode"
MH202526000015476,0.9728831,0.0,,0.0001302904461932728,"x_course_year,age_at_registration,x_university_id"
BR202526000015583,0.97438496,0.0,,0.6189059190213141,"x_university_id,state_verify_by,permanent_pincode"
AS202526000015656,0.95123976,0.0,,0.001531811295566531,"c_institution_id,x_university_id,x_course_year"
BR202526000015785,0.9757868,0.0,,0.03863002320950441,"x_university_id,xii_university_id,x_course_year"
BR202526000016002,0.9810521,0.0,,0.642227490121609,"x_university_id,permanent_pincode,state_verify_by"
UP202526000016137,0.94466096,3.0,"X1,X1_FLAG",0.9974388561433508,"flag_prematric_age_over20,age_at_registration,lgd_district_code"
AS202526000016212,0.95029795,0.0,,0.0039028014871353134,"x_course_year,name_similarity_score,ip_application_count"
AS202526000016595,0.9522155,0.0,,0.03883778542846494,"x_course_year,x_university_id,x_percentage"
AS202526000016610,0.9813633,2.0,X9,0.7740212624028593,"x_course_year,x_percentage,aadhaar_vault_ref_token"
KA202526000016710,0.9607655,0.0,,0.0006487494755585704,"permanent_pincode,tution_fee,x_course_year"
AS202526000016722,0.9514839,0.0,,0.022578056274402864,"x_course_year,age_at_registration,x_university_id"
BR202526000016747,0.9760162,0.0,,0.0009698726131710161,"x_university_id,x_course_year,xii_percentage"
KA202526000016812,0.9520672,0.0,,0.0008348891158782199,"xii_percentage,x_course_year,permanent_pincode"
KA202526000016801,0.9789459,0.0,,0.0076877046216699005,"x_course_year,permanent_pincode,entitled_lumpsump_amount"
BR202526000016882,0.9827319,0.0,,0.7765335302190041,"x_university_id,state_verify_by,x_course_year"
UP202526000007829,0.97926766,0.0,,0.0014877853483482,"x_course_year,x_university_id,age_at_registration"
AS202526000007850,0.9779772,0.0,,0.03206535806526696,"x_course_year,xii_university_id,age_at_registration"
AS202526000007903,0.9766698,0.0,,0.0004674090521370574,"annual_family_income,x_university_id,sub_district_id"
